"gene"	"freq_DE"	"freq_lasso"
"205"	"FCGR3B"	100	0
"206"	"FCMR"	100	0
"207"	"FCRL2"	100	0
"208"	"FES"	100	0
"209"	"FLT3"	100	86
"210"	"FLT3LG"	100	0
"211"	"FNDC3B"	100	16
"212"	"FOSB"	100	0
"213"	"FOSL1"	100	1
"214"	"FOSL2"	100	0
"215"	"FOXC1"	100	48
"216"	"FOXO1"	100	0
"217"	"FSCN1"	100	6
"218"	"FUT4"	100	0
"219"	"FYN"	100	0
"220"	"GAB1"	100	1
"221"	"GABBR1"	100	0
"222"	"GATA2"	100	20
"223"	"GATA3"	100	0
"224"	"GBP1"	100	0
"225"	"GCSH"	100	0
"226"	"GGH"	100	0
"227"	"GIMAP4"	100	0
"228"	"GIMAP5"	100	0
"229"	"GIMAP6"	100	0
"230"	"GLUL"	100	0
"231"	"GNA15"	100	0
"232"	"GNAQ"	100	0
"233"	"GNG11"	100	0
"234"	"GNLY"	100	0
"235"	"GOLGA2P5"	18	0
"236"	"GOLIM4"	100	100
"237"	"GPI"	88	0
"238"	"GPR171"	100	0
"239"	"GPR18"	100	0
"240"	"GPR27"	100	0
"241"	"GPRASP1"	100	0
"242"	"GRK5"	100	0
"243"	"GSAP"	100	0
"244"	"GSDMB"	100	0
"245"	"GSN"	79	0
"246"	"GUCY1A3"	100	0
"247"	"GVINP1"	100	0
"248"	"GYPA"	83	0
"249"	"GZMA"	100	0
"250"	"GZMB"	100	0
"251"	"GZMH"	100	0
"252"	"GZMK"	100	0
"253"	"HAL"	58	0
"254"	"HBD"	100	0
"255"	"HBG1"	99	100
"256"	"HCP5"	100	0
"257"	"HEBP1"	100	0
"258"	"HEG1"	100	0
"259"	"HGF"	100	49
"260"	"HIP1R"	100	3
"261"	"HIVEP2"	100	0
"262"	"HLA-DMB"	100	0
"263"	"HLA-DOA"	100	0
"264"	"HLA-F"	100	11
"265"	"HMCES"	90	30
"266"	"HMMR"	79	0
"267"	"HOMER3"	100	96
"268"	"HOXA10"	100	5
"269"	"HOXA3"	100	0
"270"	"HOXA5"	100	4
"271"	"HOXA7"	100	0
"272"	"HOXA9"	100	44
"273"	"HOXB3"	100	43
"274"	"HOXB5"	99	80
"275"	"HOXB6"	100	11
"276"	"HPGDS"	100	0
"277"	"HRK"	100	0
"278"	"HYAL3"	100	0
"279"	"ID3"	100	0
"280"	"IFI16"	100	0
"281"	"IFI44L"	100	0
"282"	"IFITM1"	100	0
"283"	"IFITM2"	100	0
"284"	"IGF2BP2"	100	6
"285"	"IGF2R"	100	0
"286"	"IGFBP2"	100	0
"287"	"IGFBP7"	100	8
"288"	"IGHD"	100	0
"289"	"IGHM"	100	0
"290"	"IGLL1"	93	0
"291"	"IKZF3"	100	0
"292"	"IL15"	100	0
"293"	"IL18"	100	49
"294"	"IL1RAP"	100	0
"295"	"IL21R"	100	0
"296"	"IL2RB"	100	0
"297"	"IL32"	100	0
"298"	"IL6ST"	100	0
"299"	"IL7R"	100	0
"300"	"IMPA2"	100	0
"301"	"IPCEF1"	100	0
"302"	"IQSEC1"	100	0
"303"	"IRAK3"	100	0
"304"	"IRF4"	100	0
"305"	"IRF8"	100	0
"306"	"IRS1"	100	0
"307"	"ISG20"	100	10
"308"	"ISYNA1"	100	8
"309"	"ITGA9"	100	0
"310"	"ITK"	100	0
"311"	"ITPR3"	100	0
"312"	"JAG1"	100	74
"313"	"KCNJ2"	100	1
"314"	"KCNK5"	100	0
"315"	"KCTD7"	100	11
"316"	"KDM5B"	100	0
"317"	"KDM7A"	100	0
"318"	"KIAA0040"	100	5
"319"	"KIAA0355"	100	0
"320"	"KIT"	100	100
"321"	"KLF12"	100	0
"322"	"KLF8"	100	0
"323"	"KLRB1"	100	0
"324"	"KLRC2"	100	0
